品名,价格,评价数,店名
索尼（SONY） APS-C 半画幅 标准变焦镜头 E口变焦镜头 风光 人像 旅游 抓拍 家用 E16-50黑色【拆机镜头】 标配,627.00,1000+条评价,索尼（SONY）摄影摄像旗舰店
E PZ 16-50MM F3.5-5.6 OSSAPS-C画幅变焦镜头广角 90新 官方标配索尼selp1650黑色,396.00,0条评价,邸煦外设店
无通用索尼E PZ 16-50 f/3.5-5.6 OSSSELP1650微单照相机 40.5mm镜,17.00,21条评价,数码107小店
E PZ 16-50MM F3.5-5.6 OSSAPS-C画幅变焦镜头广角 90新 官方标配索尼selp1650银色,396.00,0条评价,邸煦数码外设店
E PZ 16-50MM F3.5-5.6 OSSAPS-C画幅变焦镜头广角 90新 套餐一索尼selp1650黑色,462.00,0条评价,邸煦外设店
E PZ 16-50MM F3.5-5.6 OSSAPS-C画幅变焦镜头广角 90新 官方标配索尼selp1650黑色,396.00,0条评价,邸煦数码外设店
索尼（SONY）E/FE卡口 全画幅/APS-C半画幅二手相机镜头 中远摄变焦人像大光圈蔡司微单镜头 索尼E16-50mm 黑色/银色 标配 99成新,399.00,2000+条评价,大拓二手数码卖场店
索尼（SONY） 微单镜头E PZ16-50mm标准变焦镜头 适用于a5100/a6000l系列相机SELP1650黑色（拆机版） 【无独立包装】 40.5mm,608.00,200+条评价,森尼仕数码影音卖场店
TWTCKYUS无通用索尼E PZ 16-50 f/3.5-5.6 OSSSELP1650微单照相机 40.5mm .5mm镜,19.80,0条评价,恒之卓旗舰店
Sony/索尼E PZ 16-50mm f/3.5-5.6 二手镜头 防抖半画幅SELP1650黑色 99新,379.00,42条评价,和庸优品二手影像器材专营店
芙选适用于无通用索尼E PZ 16-50 f/3.5-5.6 OSSSELP1650微单照相机,18.00,0条评价,礅哏优品店
索尼（SONY）中远摄变焦人像大光圈蔡司微单相机镜头 二手索尼镜头 索尼镜头 EPZ16-50/SELP1650,339.00,1000+条评价,爱回收严选电脑数码官方旗舰店
E PZ 16-50MM F3.5-5.6 OSSAPS-C画幅变焦镜头广角 95新 官方标配索尼selp1650黑色,435.60,0条评价,邸煦外设店
Sony/索尼E PZ 16-50mm f/3.5-5.6 二手镜头 防抖半画幅SELP1650黑色 9新,329.00,42条评价,和庸优品二手影像器材专营店
E PZ 16-50MM F3.5-5.6 OSSAPS-C画幅变焦镜头广角 95新 官方标配索尼selp1650银色,435.60,0条评价,邸煦外设店
索尼（SONY） 微单镜头E PZ16-50mm标准变焦镜头 适用于a5100/a6000l系列相机SELP1650银色（拆机版） 【无独立包装】 40.5mm,608.00,200+条评价,森尼仕数码影音卖场店
